"aX","aY","aZ","gX","gY","gZ"
"0.583","0.213","0.694","9.277","38.574","6.47"
"0.582","0.2","0.71","10.498","35.583","5.371"
"0.569","0.179","0.736","11.719","31.067","4.333"
"","","","","",""
"2.831","-0.266","1.055","-2.93","-19.653","12.329"
"3.226","-0.01","0.986","-4.456","-1.404","10.071"
"3.427","0.397","0.106","-10.498","41.687","1.16"
"3.618","0.735","-1.052","-27.71","80.688","-19.958"
"3.663","0.786","-2.123","-49.561","96.252","-51.819"
"3.533","0.088","-3.073","-65.43","80.383","-97.046"
"3.175","-1.157","-3.81","-79.041","46.082","-135.498"
"2.629","-2.109","-4","-99.976","-0.061","-160.706"
"1.982","-3.834","-4","-127.625","-63.721","-167.847"
"1.411","-2.963","-3.859","-152.832","-144.653","-44.8"
"0.773","-1.02","-3.55","-175.781","-196.228","54.382"
"-0.219","-0.446","-2.776","-196.35","-245.178","68.604"
"-1.39","0.425","-1.366","-236.084","-297.791","68.604"
"-2.838","1.738","-0.156","-270.02","-319.641","95.276"
"-3.728","2.737","0.924","-284.973","-321.289","133.118"
"-3.999","4","2.697","-304.443","-346.497","150.208"
"-3.914","4","3.764","-277.893","-348.022","127.014"
"-3.336","4","4","-195.435","-375.305","-3.113"
"-3.902","3.235","4","-97.9","-344.849","-119.446"
"-3.011","2.044","4","5.676","-175.476","-133.972"
"-2.691","1.781","4","96.069","-68.726","-105.53"
"-2.219","-0.194","3.998","136.414","19.226","-135.193"
"-1.946","-1.512","2.726","128.967","100.403","-163.452"
"-1.521","-2.293","1.259","81.787","166.504","-137.207"
"-0.958","-1.396","0.661","34.18","188.232","-15.198"
"-0.277","-0.316","-0.45","14.221","200.806","78.674"
"0.148","0.587","-1.472","-20.386","208.801","91.37"
"0.508","1.254","-1.42","-31.799","147.095","91.37"
"0.678","1.128","-1.182","-12.512","93.262","59.814"
"0.708","0.807","-0.834","-0.122","56.519","31.25"
"0.676","0.881","-0.595","11.658","35.156","19.653"
"0.621","0.896","-0.69","13.062","29.968","8.789"
"0.578","0.523","-0.679","9.399","21.484","-10.986"
"0.533","0.203","-0.363","4.456","2.319","-20.142"
"0.524","0.046","-0.199","-0.61","-6.714","-14.526"
"0.529","0.128","-0.121","-7.568","-10.437","0.244"
"0.557","0.329","0.181","-16.846","-23.193","14.221"
"0.583","0.6","0.439","-24.536","-33.081","23.071"
"0.571","0.806","0.641","-24.719","-37.415","23.193"
"0.521","0.855","0.839","-18.066","-42.236","15.625"
"0.448","0.768","1.005","-7.568","-44.189","5.066"
"0.374","0.627","1.057","3.113","-42.236","-3.296"
"0.309","0.539","1.108","11.719","-39.063","-8.301"
"0.239","0.405","1.195","17.029","-36.133","-12.39"
"0.195","0.24","1.213","18.799","-29.236","-15.137"
"0.182","0.178","1.25","18.25","-22.034","-12.451"
"0.205","0.207","1.245","17.395","-14.282","-7.202"
"0.219","0.241","1.174","17.212","-6.226","-2.625"
"0.252","0.24","1.123","16.968","-1.282","0.183"
"0.322","0.294","1.136","16.663","0.427","4.822"
"0.333","0.466","1.205","15.686","3.052","10.01"
"0.471","0.55","0.842","10.986","13.672","9.705"
"0.461","0.613","0.72","10.071","14.954","4.272"
"0.489","0.528","0.894","10.376","2.625","-1.099"
"0.452","0.415","0.885","13.611","3.967","-4.761"
"0.447","0.329","0.831","15.198","8.911","-4.883"
"0.447","0.401","0.739","15.076","11.292","-1.038"
"0.46","0.472","0.708","16.418","8.118","1.099"
"0.457","0.465","0.812","17.639","0.977","-0.244"
"0.423","0.372","0.927","16.663","-1.587","-2.38"
"0.392","0.263","0.954","13.489","2.075","-3.113"
"0.381","0.274","0.914","10.193","7.935","0.488"
"0.396","0.337","0.909","8.24","10.559","4.883"
"0.406","0.368","0.938","7.751","10.742","6.775"
"0.414","0.368","0.944","7.08","12.634","7.385"
"0.435","0.393","0.943","6.042","14.709","8.362"
"0.444","0.402","0.933","4.761","17.578","8.85"
"0.454","0.398","0.879","3.418","21.301","8.179"
"0.459","0.468","0.813","2.319","23.865","8.301"
"0.466","0.48","0.808","3.052","22.461","6.592"
"0.464","0.482","0.837","4.15","20.081","3.906"
"0.454","0.472","0.831","5.371","19.714","1.648"
"0.442","0.427","0.806","7.141","19.836","-0.244"
"0.429","0.399","0.837","8.728","18.25","-0.977"
"0.422","0.332","0.846","9.888","17.944","-1.099"
"0.425","0.322","0.817","10.376","19.348","0.061"
"0.428","0.315","0.804","10.193","19.714","1.77"
"0.426","0.255","0.807","9.949","19.592","2.136"
"0.422","0.236","0.799","9.949","19.958","3.235"
"0.42","0.254","0.754","11.047","20.264","5.31"
"0.417","0.271","0.751","13.123","18.188","6.714"
"0.414","0.288","0.79","15.808","14.221","7.935"
"0.413","0.297","0.823","19.104","11.719","8.606"
"0.409","0.309","0.849","22.522","10.01","9.033"
"0.407","0.272","0.858","25.452","9.216","8.789"
"0.422","0.24","0.858","25.94","10.01","9.277"
"0.436","0.213","0.899","23.071","11.536","10.925"
"0.449","0.208","0.898","17.944","16.479","12.817"
"0.468","0.249","0.834","13.123","23.315","15.259"
"0.493","0.327","0.77","10.559","27.039","17.273"
"0.504","0.396","0.755","10.437","27.039","17.273"
"0.51","0.439","0.749","13","25.024","15.686"
"0.519","0.46","0.718","16.846","23.01","13.367"
"0.512","0.435","0.737","20.996","19.104","11.169"
"0.511","0.42","0.758","24.963","15.991","9.644"
"0.519","0.471","0.738","27.954","15.137","9.705"
"0.526","0.473","0.729","29.907","14.343","7.629"
"0.511","0.399","0.755","29.663","12.878","3.723"
"0.489","0.33","0.751","27.161","13.855","1.526"
"0.464","0.291","0.751","24.17","15.32","1.953"
"0.445","0.266","0.764","20.691","16.541","3.113"
"0.43","0.253","0.762","18.799","17.578","5.493"
"0.426","0.267","0.745","17.212","18.555","8.301"
"0.42","0.308","0.75","15.32","18.616","11.23"
"0.432","0.363","0.803","14.404","17.212","13.245"
"0.444","0.441","0.824","13.245","18.005","14.282"
"0.458","0.456","0.818","10.986","21.057","12.329"
"0.468","0.415","0.803","9.705","23.621","8.972"
"0.475","0.359","0.758","8.789","25.879","6.531"
"0.485","0.344","0.695","7.141","27.771","6.104"
"0.491","0.362","0.666","7.69","26.245","6.287"
"0.498","0.368","0.713","9.949","21.362","5.615"
"0.496","0.379","0.788","11.719","17.7","4.761"
"0.491","0.404","0.839","13.977","16.785","4.272"
"0.487","0.418","0.849","15.93","18.127","3.296"
"0.479","0.398","0.849","16.846","19.47","1.343"
"0.463","0.316","0.861","16.907","20.447","-0.61"
"0.449","0.246","0.86","15.503","22.278","-0.854"
"0.451","0.264","0.813","14.771","24.963","1.343"
"","","","","",""
"2.368","-0.523","-0.915","-30.762","8.423","-32.288"
"2.711","-0.486","-1.325","-39.917","2.991","-34.18"
"2.861","-0.56","-1.686","-47.913","-8.484","-39.551"
"2.843","-0.961","-1.983","-52.673","-22.339","-53.65"
"2.665","-1.414","-2.1","-61.462","-41.565","-60.12"
"2.541","-1.537","-2.324","-65.796","-62.988","-50.049"
"2.454","-1.213","-2.355","-62.5","-101.44","-23.132"
"2.216","-0.898","-1.979","-66.833","-145.325","-5.737"
"1.927","-0.587","-1.489","-83.801","-175.049","-3.357"
"1.575","0.038","-1.199","-114.99","-184.326","-4.761"
"0.994","0.441","-1.07","-164.307","-173.157","-20.813"
"0.139","0.799","-0.579","-227.722","-162.17","-43.823"
"-0.891","1.632","-0.173","-280.457","-152.771","-52.673"
"-2.083","1.783","-0.236","-302.307","-134.46","-52.49"
"-3.236","2.384","0.377","-276.917","-174.377","-31.372"
"-3.412","3.52","1.865","-200.745","-291.138","29.48"
"-2.875","3.963","3.255","-103.516","-385.315","43.579"
"-3.007","2.293","4","-47.058","-392.578","-36.987"
"-2.833","0.369","4","-16.968","-351.013","-66.956"
"-1.982","0.783","4","26.123","-266.296","-5.371"
"-1.484","1.88","4","37.537","-143.25","57.312"
"-1.097","1.045","4","5.737","-22.522","25.879"
"-0.929","0.419","3.699","-31.921","92.896","1.465"
"-0.658","0.265","1.578","-57.739","209.29","5.737"
"-0.34","0.556","0.214","-67.383","244.568","19.836"
"-0.023","0.937","-0.611","-53.772","221.619","30.945"
"0.202","0.876","-1.324","-27.954","189.575","22.949"
"0.312","0.449","-1.43","-2.197","133.606","8.85"
"0.379","0.442","-0.962","17.334","71.045","7.935"
"0.392","0.372","-0.411","27.649","29.541","9.521"
"0.341","0.32","-0.244","26.733","18.86","8.362"
"0.408","0.503","-0.11","13.977","15.076","14.404"
"0.455","0.496","-0.026","0.61","10.803","13.916"
"0.5","0.429","-0.106","-8.362","10.498","10.498"
"0.547","0.442","-0.09","-12.817","3.967","10.498"
"0.614","0.44","0.125","-16.541","-7.996","9.033"
"0.661","0.505","0.36","-21.423","-15.381","7.935"
"0.678","0.658","0.494","-24.841","-15.259","7.996"
"0.639","0.692","0.597","-23.743","-15.32","3.784"
"0.584","0.64","0.736","-20.386","-19.409","-2.38"
"0.519","0.6","0.873","-16.235","-22.766","-6.348"
"0.461","0.557","0.948","-11.963","-22.217","-9.705"
"0.393","0.477","1.017","-7.996","-20.752","-13.062"
"0.324","0.331","1.085","-3.479","-19.409","-16.418"
"0.272","0.231","1.135","0.732","-16.907","-15.869"
"0.264","0.244","1.13","4.333","-12.451","-10.498"
"0.275","0.256","1.124","7.08","-8.606","-5.371"
"0.297","0.291","1.116","7.751","-5.432","-1.953"
"0.355","0.335","1.098","7.874","-1.77","0.366"
"0.403","0.359","1.017","7.019","4.028","1.282"
"0.444","0.38","0.856","5.31","11.658","1.404"
"0.474","0.448","0.733","3.235","15.32","1.404"
"0.488","0.53","0.683","2.991","13.306","0.793"
"0.482","0.518","0.678","6.287","8.484","-2.563"
"0.459","0.44","0.667","12.634","3.296","-6.836"
"0.435","0.413","0.655","18.982","-1.099","-8.057"
"0.423","0.411","0.707","23.071","-6.836","-7.446"
"0.406","0.373","0.817","25.085","-12.146","-7.751"
"0.393","0.32","0.922","24.78","-12.817","-7.751"
"0.394","0.32","0.972","23.315","-9.094","-6.042"
"0.396","0.348","0.946","21.423","-3.662","-3.967"
"0.398","0.314","0.944","19.47","-0.427","-3.601"
"0.404","0.259","0.994","15.747","2.014","-3.235"
"0.414","0.253","0.988","11.169","7.935","-1.099"
"0.425","0.25","0.926","7.629","14.465","1.404"
"0.433","0.247","0.833","4.7","19.714","3.906"
"0.458","0.308","0.754","0.977","22.461","7.629"
"0.485","0.387","0.77","-2.075","20.874","10.315"
"0.492","0.396","0.8","-3.845","19.348","9.888"
"0.498","0.4","0.736","-3.113","19.897","9.216"
"0.503","0.449","0.731","-0.732","17.639","9.705"
"0.516","0.503","0.773","1.77","12.817","9.094"
"0.508","0.49","0.769","5.066","10.803","5.676"
"0.493","0.393","0.791","7.935","8.667","0.916"
"0.484","0.364","0.847","9.949","6.653","-0.061"
"0.472","0.367","0.87","11.475","7.324","0.427"
"0.462","0.319","0.861","12.146","9.949","-0.183"
"0.462","0.296","0.827","10.315","12.695","-0.183"
"0.462","0.266","0.784","6.226","15.747","0.305"
"0.462","0.239","0.764","2.686","16.724","0.732"
"0.461","0.248","0.71","1.831","16.541","2.502"
"0.478","0.262","0.674","3.845","13.977","4.211"
"0.494","0.276","0.691","7.202","8.728","5.31"
"0.507","0.297","0.727","10.254","3.967","6.104"
"0.512","0.312","0.73","12.756","1.526","5.859"
"0.507","0.3","0.76","14.648","-0.854","4.883"
"0.497","0.252","0.798","17.029","-3.296","3.723"
"0.483","0.243","0.837","18.25","-4.15","4.395"
"0.472","0.262","0.886","17.639","-3.54","6.104"
