"aX","aY","aZ","gX","gY","gZ"
"0.839","0.348","0.301","-2.014","0.732","3.906"
"0.833","0.339","0.311","-1.587","-1.404","2.258"
"0.826","0.284","0.328","-0.977","-3.418","0.122"
"","","","","",""
"0.845","-0.342","2.357","35.522","-115.967","-12.573"
"0.736","-0.348","2.861","21.973","-105.408","-8.667"
"0.646","-0.303","3.261","13.916","-82.52","-1.709"
"0.568","-0.171","3.546","13.855","-50.781","8.057"
"0.418","0.014","3.789","21.667","-17.456","17.456"
"0.223","0.104","4","28.076","20.386","18.494"
"0.032","0.042","4","28.381","75.439","10.437"
"-0.185","-0.037","4","24.231","147.644","3.174"
"-0.328","-0.036","3.951","17.395","227.234","2.625"
"-0.383","0.119","3.395","14.465","292.114","6.836"
"-0.442","0.336","2.885","20.508","329.834","10.62"
"-0.495","0.406","2.492","32.471","343.567","7.08"
"-0.57","0.339","2.243","45.41","340.759","0.61"
"-0.677","0.27","2.129","57.068","331.177","-0.854"
"-0.775","0.289","2.091","65.735","322.327","3.235"
"-0.847","0.396","2.062","73.425","319.214","10.681"
"-0.915","0.495","1.968","79.102","323.792","16.479"
"-0.947","0.573","1.731","87.158","333.862","20.569"
"-0.907","0.714","1.423","99.487","341.309","27.466"
"-0.815","0.904","1.152","111.938","340.393","33.875"
"-0.787","1.097","0.954","122.009","333.252","34.302"
"-0.838","1.219","0.825","128.784","323.486","26.001"
"-0.933","1.173","0.77","132.08","312.012","9.949"
"-1.038","0.987","0.723","133.118","303.345","-5.981"
"-1.119","0.79","0.618","133.057","301.025","-14.648"
"-1.102","0.667","0.396","130.615","304.077","-13.184"
"-1.01","0.654","0.076","127.075","309.021","-5.066"
"-0.899","0.724","-0.253","122.07","311.096","4.089"
"-0.797","0.811","-0.556","118.713","306.213","11.292"
"-0.667","0.861","-0.811","114.441","295.227","13.855"
"-0.606","0.849","-1.048","113.831","278.442","12.512"
"-0.443","0.811","-1.297","110.291","259.094","11.597"
"-0.283","0.86","-1.509","103.027","233.887","14.404"
"-0.154","0.938","-1.676","98.267","200.317","14.648"
"-0.038","0.969","-1.716","95.215","157.959","7.629"
"0.021","0.895","-1.587","92.712","110.779","-5.127"
"0.052","0.654","-1.354","87.036","70.068","-20.569"
"0.071","0.384","-1.076","79.529","40.222","-30.579"
"0.107","0.223","-0.795","68.726","21.729","-29.663"
"0.148","0.18","-0.554","56.274","15.137","-20.813"
"0.2","0.1","-0.442","42.969","21.118","-12.817"
"0.284","0.008","-0.487","30.823","33.386","-5.859"
"0.368","0.016","-0.587","22.766","40.894","4.028"
"0.447","0.091","-0.669","17.09","40.222","14.343"
"0.542","0.117","-0.701","12.329","32.837","19.836"
"0.647","0.104","-0.646","6.531","21.118","21.606"
"0.745","0.156","-0.551","0.488","9.46","23.804"
"0.841","0.266","-0.436","-4.028","-0.244","25.085"
"0.898","0.339","-0.344","-6.897","-7.324","21.179"
"0.956","0.304","-0.314","-8.728","-12.39","12.146"
"0.997","0.228","-0.29","-9.399","-17.212","2.502"
"1.001","0.183","-0.242","-7.874","-24.231","-3.662"
"0.986","0.129","-0.137","-4.883","-33.142","-9.033"
"0.968","0.034","0.02","-1.953","-41.87","-14.16"
"0.983","-0.068","0.201","-0.61","-45.959","-16.724"
"1.001","-0.102","0.345","-1.16","-42.236","-14.343"
"1.01","-0.08","0.404","-2.563","-30.579","-8.606"
"1.01","-0.049","0.352","-4.883","-14.648","-3.174"
"1.021","-0.01","0.272","-9.277","-0.977","0.244"
"1.052","0.013","0.211","-13.977","7.751","2.014"
"1.087","0.018","0.14","-18.372","14.099","2.747"
"1.102","0.042","0.059","-18.799","16.541","3.723"
"1.095","0.065","-0.024","-13.916","14.465","3.784"
"1.08","0.052","-0.074","-6.836","7.751","1.709"
"1.057","0.023","-0.076","-0.183","-0.854","0"
"1.036","0.012","-0.061","5.92","-9.033","0"
"1.056","0.057","-0.022","7.385","-15.503","1.587"
"1.068","0.163","0.059","6.042","-19.897","3.052"
"1.071","0.193","0.118","4.761","-20.203","1.343"
"1.054","0.141","0.109","5.188","-16.235","-1.892"
"1.03","0.091","0.064","5.493","-12.085","-3.418"
"1.024","0.087","0.063","4.883","-11.292","-2.686"
"1.026","0.114","0.109","4.578","-12.024","-2.502"
"1.028","0.113","0.139","4.578","-10.864","-4.395"
"1.016","0.065","0.13","4.089","-8.179","-7.385"
"1","0.001","0.105","2.991","-5.615","-9.216"
"0.989","-0.031","0.089","1.16","-4.761","-8.301"
"0.987","-0.024","0.085","-0.732","-5.066","-5.493"
"0.989","0.012","0.084","-2.686","-5.92","-2.686"
"0.98","0.036","0.092","-3.601","-7.629","-1.648"
"0.975","0.015","0.082","-2.38","-9.338","-2.136"
"0.972","-0.018","0.046","-0.244","-10.803","-2.136"
"0.971","-0.021","0.014","2.686","-13.794","-0.732"
"0.968","0","0.021","5.798","-18.982","1.343"
"0.965","0.012","0.053","8.24","-24.17","2.808"
"0.972","0.022","0.118","8.911","-28.687","4.15"
"0.98","0.055","0.218","7.263","-30.579","4.944"
"0.986","0.082","0.314","3.906","-28.442","4.272"
"0.981","0.061","0.333","-0.122","-21.118","1.953"
"0.974","-0.001","0.286","-4.211","-11.719","-0.366"
"0.96","-0.032","0.223","-7.812","-4.578","-0.488"
"0.955","-0.019","0.182","-10.132","-1.343","1.16"
"0.947","0","0.151","-10.315","-0.427","2.808"
"0.943","-0.012","0.131","-9.46","-0.854","3.174"
"0.94","-0.036","0.135","-8.423","-2.686","3.296"
"0.949","-0.04","0.151","-6.897","-4.822","4.578"
"0.965","-0.032","0.172","-5.981","-5.737","5.798"
"0.98","-0.012","0.162","-5.493","-5.066","7.019"
"0.998","0.028","0.14","-5.859","-4.028","8.362"
"1.004","0.079","0.134","-6.226","-3.906","8.85"
"1.001","0.103","0.152","-5.798","-5.249","7.141"
"1","0.085","0.162","-4.944","-5.676","4.272"
"0.998","0.063","0.153","-3.662","-5.188","2.441"
"1","0.058","0.137","-2.991","-4.578","1.892"
"1.001","0.063","0.138","-2.625","-4.822","2.197"
"1.009","0.07","0.143","-2.319","-5.249","2.686"
"1.006","0.098","0.14","-1.953","-5.371","2.625"
"0.998","0.118","0.161","-1.77","-6.165","1.221"
"0.983","0.085","0.187","-1.16","-6.531","-1.343"
"0.971","0.031","0.196","0.488","-6.47","-2.747"
"0.964","0.007","0.192","1.038","-5.371","-2.38"
"0.967","0.019","0.182","0.854","-3.845","-0.732"
"0.976","0.054","0.171","1.221","-3.052","0.488"
"0.973","0.074","0.178","1.343","-3.174","0.549"
"0.957","0.05","0.199","1.038","-3.113","-0.61"
"0.951","0.002","0.207","0.732","-2.197","-1.587"
"0.954","-0.001","0.202","-0.244","-0.549","-0.549"
"0.966","0.046","0.174","-0.854","1.526","1.831"
"0.976","0.097","0.113","-0.122","3.296","3.174"
"","","","","",""
"0.243","-0.11","2.953","18.127","-67.505","-24.658"
"0.108","-0.333","3.442","13.184","-46.692","-33.447"
"0.004","-0.418","3.765","11.23","-12.878","-31.006"
"-0.164","-0.365","4","15.625","21.851","-20.508"
"-0.334","-0.345","4","22.4","61.096","-12.756"
"-0.501","-0.369","4","27.771","115.601","-7.69"
"-0.682","-0.362","4","30.09","191.345","-0.977"
"-0.841","-0.211","4","30.945","278.137","9.399"
"-0.93","0.025","3.825","30.151","354.553","18.494"
"-0.97","0.246","3.182","33.63","409.79","21.362"
"-1.014","0.389","2.55","44.25","444.641","17.7"
"-1.051","0.415","1.86","60.425","466.003","9.399"
"-1.055","0.412","1.156","83.008","470.459","2.747"
"-0.996","0.456","0.522","108.032","457.764","1.587"
"-0.904","0.6","0.057","126.892","433.411","4.15"
"-0.861","0.699","-0.223","132.69","405.457","3.174"
"-0.772","0.605","-0.493","127.93","384.155","-5.066"
"-0.679","0.552","-0.827","119.629","371.948","-9.827"
"-0.569","0.595","-1.178","106.323","358.765","-7.568"
"-0.522","0.585","-1.536","97.412","334.595","-10.071"
"-0.365","0.424","-1.777","92.468","294.434","-20.02"
"-0.235","0.309","-1.727","86.121","242.859","-26.855"
"-0.117","0.26","-1.533","84.473","192.322","-29.053"
"-0.007","0.213","-1.421","85.571","154.297","-30.884"
"0.055","0.147","-1.31","86.853","122.559","-32.593"
"0.11","-0.031","-1.137","84.106","93.079","-35.278"
"0.172","-0.219","-0.92","75.012","68.909","-34.363"
"0.247","-0.259","-0.612","61.89","51.27","-26.062"
"0.322","-0.209","-0.291","48.218","40.405","-15.503"
"0.359","-0.239","-0.141","37.964","42.542","-9.949"
"0.401","-0.344","-0.163","31.738","50.659","-6.897"
"0.45","-0.347","-0.209","27.283","52.49","0.183"
