"aX","aY","aZ","gX","gY","gZ"
"-0.095","-0.059","0.889","-8.789","10.559","-12.756"
"-0.084","-0.018","0.901","-4.517","5.737","1.892"
"-0.074","0.046","0.924","-1.648","1.587","14.832"
"-0.062","0.126","0.955","-0.244","-0.854","24.902"
"-0.062","0.209","0.98","0.305","-2.075","30.823"
"-0.061","0.281","1.001","-1.038","-2.319","31.677"
"-0.064","0.328","1.009","-2.625","-1.221","27.222"
"-0.064","0.35","1.007","-5.615","0.488","18.433"
"-0.065","0.346","1.001","-8.972","2.38","7.507"
"-0.071","0.314","0.998","-12.939","3.784","-3.479"
"","","","","",""
"-0.646","-0.853","1.814","-131.47","-201.66","-67.383"
"-0.709","-0.956","2.208","-157.043","-215.515","-46.448"
"-0.722","-1.017","2.609","-174.316","-211.426","-12.024"
"-0.684","-1.019","2.973","-181.458","-184.57","33.875"
"-0.642","-0.939","3.217","-174.194","-133.301","89.661"
"-0.716","-0.736","3.293","-151.062","-65.125","148.804"
"-0.901","-0.425","3.228","-117.432","6.042","204.041"
"-1.012","-0.109","3.084","-76.477","70.801","246.338"
"-1.074","0.16","2.912","-36.865","125.061","277.222"
"-1.121","0.398","2.744","-5.371","166.26","305.786"
"-1.164","0.612","2.592","17.944","192.688","335.999"
"-1.236","0.823","2.477","29.419","203.369","370.728"
"-1.39","1.082","2.415","29.114","199.585","412.231"
"-1.651","1.376","2.421","12.573","186.829","453.064"
"-1.927","1.733","2.528","-22.339","173.462","484.436"
"-2.207","2.156","2.682","-60.852","169.617","499.878"
"-2.463","2.619","2.805","-93.628","186.096","493.53"
"-2.616","3.034","2.832","-118.958","226.685","455.872"
"-2.608","3.366","2.741","-127.441","286.255","381.348"
"-2.628","3.51","2.506","-118.835","357.91","257.324"
"-2.668","3.452","2.103","-101.257","435.242","121.399"
"-2.775","3.149","1.624","-88.257","505.005","-21.79"
"-2.919","2.645","1.182","-83.618","559.143","-158.386"
"-3.05","2.104","0.828","-80.017","596.252","-268.982"
"-3.136","1.635","0.53","-70.129","619.08","-343.018"
"-3.139","1.288","0.273","-52.917","630.371","-380.737"
"-3.058","1.047","0.021","-30.64","633.606","-389.893"
"-2.954","0.867","-0.227","-11.475","629.883","-382.141"
"-2.819","0.721","-0.464","4.639","617.676","-365.784"
"-2.65","0.604","-0.71","18.494","594.788","-343.75"
"-2.46","0.505","-0.93","17.273","559.448","-318.909"
"-2.233","0.414","-1.064","-6.409","510.62","-295.227"
"-1.983","0.337","-1.145","-45.105","451.111","-273.621"
"-1.783","0.283","-1.224","-82.947","385.254","-253.418"
"-1.63","0.239","-1.241","-128.113","314.392","-235.596"
"-1.512","0.17","-1.171","-183.105","241.882","-225.83"
"-1.399","0.069","-1.053","-230.591","172.668","-222.717"
"-1.305","-0.034","-0.912","-268.494","111.633","-222.534"
"-1.25","-0.141","-0.782","-296.509","60.059","-224.731"
"-1.194","-0.264","-0.672","-311.462","17.761","-230.225"
"-1.12","-0.402","-0.591","-313.843","-16.296","-234.741"
"-1.041","-0.527","-0.525","-306.03","-47.058","-234.558"
"-0.949","-0.651","-0.451","-289.612","-78.247","-228.516"
"-0.85","-0.752","-0.344","-274.658","-110.229","-216.675"
"-0.839","-0.816","-0.177","-266.479","-141.785","-200.989"
"-0.884","-0.876","0.047","-270.447","-169.983","-186.34"
"-0.866","-0.948","0.286","-289.49","-185.73","-175.293"
"-0.821","-1.037","0.458","-308.96","-184.204","-165.527"
"-0.818","-1.144","0.57","-315.796","-175.598","-155.334"
"-0.857","-1.245","0.617","-309.998","-164.001","-142.517"
"-0.851","-1.347","0.582","-294.189","-150.879","-126.709"
"-0.779","-1.448","0.518","-275.757","-143.616","-106.384"
"-0.751","-1.502","0.493","-249.329","-150.33","-77.087"
"-0.766","-1.501","0.536","-221.985","-167.786","-38.757"
"-0.768","-1.445","0.652","-203.491","-188.599","3.113"
"-0.717","-1.329","0.8","-195.312","-207.458","45.898"
"-0.626","-1.161","0.935","-194.275","-221.68","88.257"
"-0.548","-0.96","1.025","-195.496","-230.774","127.502"
"-0.488","-0.747","1.085","-196.472","-237.427","161.743"
"-0.442","-0.546","1.125","-193.481","-243.408","187.683"
"-0.464","-0.365","1.168","-189.27","-248.474","203.857"
